lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
5.70000e-01 5.30158e-01 3.26117e-01 2.64347e-02 1.15925e-03 1.77725e-03 5.96509e-01 8.95659e-01 1.79132e+00 3.58264e+00 nan
5.80000e-01 5.22897e-01 3.16683e-01 2.31481e-02 1.37135e-03 1.94008e-03 6.06974e-01 9.11372e-01 1.82274e+00 3.64549e+00 nan
5.90000e-01 5.15108e-01 3.07186e-01 2.07347e-02 1.31801e-03 1.49299e-03 6.17439e-01 9.27086e-01 1.85417e+00 3.70834e+00 nan
6.00000e-01 5.07035e-01 2.97717e-01 1.84229e-02 1.26369e-03 1.41145e-03 6.27904e-01 9.42799e-01 1.88560e+00 3.77120e+00 nan
6.10000e-01 4.99536e-01 2.88628e-01 1.60222e-02 2.43801e-03 1.97914e-03 6.38369e-01 9.58512e-01 1.91702e+00 3.83405e+00 nan
6.20000e-01 4.92008e-01 2.79723e-01 1.40188e-02 1.60877e-03 1.39142e-03 6.48834e-01 9.74226e-01 1.94845e+00 3.89690e+00 nan
6.30000e-01 4.83422e-01 2.70565e-01 1.23950e-02 1.63001e-03 1.43014e-03 6.59299e-01 9.89939e-01 1.97988e+00 3.95976e+00 nan
6.40000e-01 4.76505e-01 2.62333e-01 1.09539e-02 1.41126e-03 1.55689e-03 6.69764e-01 1.00565e+00 2.01130e+00 4.02261e+00 nan
6.50000e-01 4.69280e-01 2.54225e-01 9.93276e-03 1.41877e-03 1.84067e-03 6.80229e-01 1.02137e+00 2.04273e+00 4.08546e+00 nan
6.60000e-01 4.60770e-01 2.45060e-01 8.21941e-03 1.45542e-03 1.78564e-03 6.90694e-01 1.03708e+00 2.07416e+00 4.14832e+00 nan
6.70000e-01 4.53884e-01 2.37315e-01 7.48746e-03 1.43097e-03 1.83263e-03 7.01160e-01 1.05279e+00 2.10558e+00 4.21117e+00 nan
6.80000e-01 4.46488e-01 2.29152e-01 6.15086e-03 1.38579e-03 1.64137e-03 7.11625e-01 1.06851e+00 2.13701e+00 4.27402e+00 nan
6.90000e-01 4.38648e-01 2.20798e-01 5.39111e-03 1.89465e-03 1.70254e-03 7.22090e-01 1.08422e+00 2.16844e+00 4.33687e+00 nan
7.00000e-01 4.31369e-01 2.13462e-01 5.64107e-03 2.27726e-03 2.03463e-03 7.32555e-01 1.09993e+00 2.19986e+00 4.39973e+00 nan
7.10000e-01 4.24166e-01 2.06159e-01 4.61255e-03 1.82690e-03 1.23100e-03 7.43020e-01 1.11565e+00 2.23129e+00 4.46258e+00 nan
7.20000e-01 4.17082e-01 1.99003e-01 4.99570e-03 2.27749e-03 1.39980e-03 7.53485e-01 1.13136e+00 2.26272e+00 4.52543e+00 nan
7.30000e-01 4.10454e-01 1.91896e-01 3.45506e-03 1.34837e-03 1.26316e-03 7.63950e-01 1.14707e+00 2.29414e+00 4.58829e+00 nan
7.40000e-01 4.03002e-01 1.84798e-01 4.03197e-03 2.25133e-03 2.15764e-03 7.74415e-01 1.16279e+00 2.32557e+00 4.65114e+00 nan
7.50000e-01 3.95799e-01 1.77973e-01 2.48528e-03 1.37893e-03 1.50302e-03 7.84880e-01 1.17850e+00 2.35700e+00 4.71399e+00 nan
7.60000e-01 3.88989e-01 1.71645e-01 3.42995e-03 2.40766e-03 2.23931e-03 7.95345e-01 1.19421e+00 2.38842e+00 4.77685e+00 nan
7.70000e-01 3.81484e-01 1.64830e-01 2.22310e-03 1.18691e-03 1.46573e-03 8.05810e-01 1.20993e+00 2.41985e+00 4.83970e+00 nan
7.80000e-01 3.74841e-01 1.58733e-01 3.29908e-03 2.30224e-03 1.90486e-03 8.16275e-01 1.22564e+00 2.45128e+00 4.90255e+00 nan
7.90000e-01 3.67744e-01 1.52417e-01 1.99664e-03 1.15570e-03 1.22128e-03 8.26740e-01 1.24135e+00 2.48270e+00 4.96541e+00 nan
8.00000e-01 3.60879e-01 1.46434e-01 1.91426e-03 1.34149e-03 1.21199e-03 8.37205e-01 1.25707e+00 2.51413e+00 nan nan
