time difference
2.22500e+01 9.04504e+00
2.22917e+01 -1.00264e+01
2.23333e+01 -1.66712e+00
2.23750e+01 -2.51842e+00
2.24167e+01 -2.12824e-01
2.24583e+01 -6.26650e-01
2.25000e+01 1.21901e+01
2.25417e+01 2.16371e+00
2.25833e+01 -2.25830e+00
2.26250e+01 -4.95408e+00
2.26667e+01 1.51224e+01
2.27083e+01 8.52480e+00
2.27500e+01 -2.83056e+01
2.27917e+01 1.76762e+01
2.28333e+01 -7.81538e+00
2.28750e+01 2.83766e-01
2.29167e+01 6.99956e+00
2.29583e+01 1.59618e+00
2.30000e+01 3.40519e+00
2.30417e+01 1.11733e+01
2.30833e+01 -1.60801e+00
2.31250e+01 1.54061e+01
2.31667e+01 2.48650e+01
2.32083e+01 2.48295e-01
2.32500e+01 -8.17009e+00
2.32917e+01 -1.37390e+01
2.33333e+01 5.61620e+00
2.33750e+01 -1.62929e+01
2.34167e+01 -2.70996e+01
2.34583e+01 -3.09778e+00
2.35000e+01 7.24785e+00
2.35417e+01 -1.28877e+00
2.35833e+01 1.34434e+01
2.36250e+01 -2.26067e+01
2.36667e+01 -1.57017e+01
2.37083e+01 2.76672e+00
2.37500e+01 1.93552e+01
2.37917e+01 1.51342e+01
2.38333e+01 -3.34607e+00
2.38750e+01 1.00737e+01
2.39167e+01 2.66149e+01
2.39583e+01 -9.55345e+00
2.40000e+01 1.37745e+01
2.40417e+01 5.55708e-01
2.40833e+01 -1.59145e+01
2.41250e+01 2.16963e+01
2.41667e+01 9.57710e+00
2.42083e+01 1.60209e+01
2.42500e+01 2.30560e+00
2.42917e+01 1.89177e-01
2.43333e+01 3.02684e+00
2.43750e+01 -6.68032e+00
2.44167e+01 -1.27695e+01
2.44583e+01 4.95408e+00
2.45000e+01 1.71797e+01
2.45417e+01 -2.07031e+01
2.45833e+01 1.10550e+01
2.46250e+01 -5.01320e+00
2.46667e+01 1.32188e+01
2.47083e+01 5.68714e+00
2.47500e+01 1.37390e+01
2.47917e+01 -9.96728e+00
2.48333e+01 5.19055e+00
2.48750e+01 1.63284e+01
2.49167e+01 2.27486e+01
2.49583e+01 1.70023e+01
2.50000e+01 -3.90178e-01
2.50417e+01 -3.48796e+00
2.50833e+01 2.76672e+00
2.51250e+01 5.49796e+00
2.51667e+01 -2.38836e+01
2.52083e+01 3.42884e+00
2.52500e+01 -4.51661e+00
2.52917e+01 2.83766e+00
2.53333e+01 -4.72943e-02
2.53750e+01 -2.17081e+01
2.54167e+01 -4.77673e+00
2.54583e+01 -6.42020e+00
2.55000e+01 -3.80719e+00
2.55417e+01 -5.95908e+00
2.55833e+01 1.08186e+01
2.56250e+01 -1.04520e+01
2.56667e+01 -1.59264e+01
2.57083e+01 -1.75225e+01
2.57500e+01 3.97272e+00
2.57917e+01 6.62120e+00
2.58333e+01 -1.43302e+01
2.58750e+01 -9.11598e+00
2.59167e+01 9.00957e+00
2.59583e+01 -2.04311e+01
2.60000e+01 1.46612e+01
2.60417e+01 -1.45075e+01
2.60833e+01 -3.02684e+00
2.61250e+01 1.57608e+01
2.61667e+01 1.77354e+01
2.62083e+01 -1.66712e+00
2.62500e+01 -7.38974e+00
2.62917e+01 7.31879e+00
2.63333e+01 -1.73570e+01
2.63750e+01 3.20419e+00
2.64167e+01 -9.73080e+00
2.64583e+01 1.04757e+01
2.65000e+01 1.17290e+01
2.65417e+01 6.98773e+00
2.65833e+01 -1.25566e+01
2.66250e+01 1.25566e+01
2.66667e+01 1.98163e+01
2.67083e+01 1.40109e+01
2.67500e+01 1.89295e+01
2.67917e+01 3.55890e+00
2.68333e+01 -1.11142e+01
2.68750e+01 1.30059e+01
2.69167e+01 -1.50396e+01
2.69583e+01 1.72624e+00
2.70000e+01 6.50297e+00
2.70417e+01 1.83147e+01
2.70833e+01 -6.99956e+00
2.71250e+01 1.95444e+01
2.71667e+01 5.95908e+00
2.72083e+01 -5.66349e+00
2.72500e+01 1.49450e+01
2.72917e+01 -1.28168e+01
2.73333e+01 5.30879e+00
2.73750e+01 1.66358e+01
2.74167e+01 6.01820e+00
2.74583e+01 2.56572e+00
2.75000e+01 -9.34063e-01
2.75417e+01 4.03184e+00
2.75833e+01 1.98873e+01
